,index,article
0,1,"important: by using your iphone, ipad or ipod touch (“device”), you are agreeing to be bound by the following terms: a.     apple ios and ipados software license agreement b.     apple pay supplemental terms c.     notices from apple apple inc ios and ipados software license agreement single use license please read this software license agreement (“license”) carefully before using your device or downloading the software update accompanying this license."
1,2,"by using your device or downloading a software update, as applicable, you are agreeing to be bound by the terms of this license."
2,3,"if you do not agree to the terms of this license, do not use the device or download the software update if you have recently purchased a device and you do not agree to the terms of the license, you may return the device within the return period to the apple store or authorized distributor where you obtained it for a refund, subject to apple’s return policy found at https://www.apple.com/legal/sales-support/."
3,4,"1. general (a) the software (including boot rom code, embedded software and third party software), documentation, interfaces, content, fonts and any data that came with your device (“original apple software”), as may be updated or replaced by feature enhancements, software updates or system restore software provided by apple (“apple software updates”), whether in read only memory, on any other media or in any other form (the original apple software and apple software updates are collectively referred to as the “apple software”) are licensed, not sold, to you by apple inc. (“apple”) for use only under the terms of this license."
4,5,apple and its licensors retain ownership of the apple software itself and reserve all rights not expressly granted to you.
5,6,"you agree that the terms of this license will apply to any apple-branded app that may be built-in on your device, unless such app is accompanied by a separate license, in which case you agree that the terms of that license will govern your use of that app."
6,7,"(b) apple, at its discretion, may make available future apple software updates."
7,8,"the apple software updates, if any, may not necessarily include all existing software features or new features that apple releases for newer or other models of devices."
8,9,"the terms of this license will govern any apple software updates provided by apple, unless such apple software update is accompanied by a separate license, in which case you agree that the terms of that license will govern (c) if you use the express setup feature to set up a new device based on your existing device, you agree that the terms of this license will govern your use of the apple software on your new device, unless it is accompanied by a separate license, in which case you agree that the terms of that license will govern your use of that apple software."
9,10,your device will periodically check with apple for apple software updates.
10,11,"if an update is available, the update may automatically download and install onto your device and, if applicable, your peripheral devices."
11,12,"by using the apple software, you agree that apple may download and install automatic apple software updates onto your device and your peripheral devices."
12,13,you can turn o?
13,14,automatic updates altogether at any time by changing the automatic updates settings found within settings > general > software update.
14,15,2. permitted license uses and restrictions.
15,16,"(a) subject to the terms and conditions of this license, you are granted a limited non-exclusive license to use the apple software on a single apple-branded device."
16,17,"except as permitted in section 2(b) below, and unless as provided in a separate agreement between you and apple, this license does not allow the apple software to exist on more than one apple-branded device at a time, and you may not distribute or make the apple software available over a network where it could be used by multiple devices at the same time."
17,18,"this license does not grant you any rights to use apple proprietary interfaces and other intellectual property in the design, development, manufacture, licensing or distribution of third party devices and accessories, or third party software applications, for use with devices."
18,19,some of those rights are available under separate licenses from apple.
19,20,"for more information on developing third party devices and accessories for devices, please visit https://developer.apple.com/programs/m?/."
20,21,"for more information on developing software applications for devices, please visit https://developer.apple.com."
21,22,"(b) subject to the terms and conditions of this license, you are granted a limited non-exclusive license to download apple software updates that may be made available by apple for your model of the device to update or restore the software on any such device that you own or control."
22,23,"this license does not allow you to update or restore any device that you do not control or own, and you may not distribute or make the apple software updates available over a network where they could be used by multiple devices or multiple computers at the same time."
23,24,"if you download an apple software update to your computer, you may make one copy of the apple software updates stored on your computer in machine-readable form for backup purposes only, provided that the backup copy must include all copyright or other proprietary notices contained on the original (c) to the extent that apple has preinstalled apple-branded apps from the app store on your device at the time of purchase (“preinstalled apps”), you will need to log into the app store and associate these preinstalled apps with your app store account in order to use them on your device."
24,25,"when you associate a preinstalled app with your app store account, you will at the same time be automatically associating all other preinstalled apps on your device."
25,26,"by choosing to associate the preinstalled apps with your app store account, you agree that apple may transmit, collect, maintain, process and use both the apple id used by your app store account and a unique hardware identi?er collected from your device, as unique account identi?ers for the purpose of verifying the eligibility of your request and providing you access to the preinstalled apps through the app store."
26,27,"if you do not wish to use a preinstalled app, you can delete it from your device at any time."
